id,createdTime,Subcategory Name,Created Date,Status,Taxonomy Version,Parent Category,Last Updated,Solutions
rec00TS5c2otJF3zC,2025-01-28T07:45:50.000Z,Emergency Food Distribution,2025-01-28,Active,V_01-28-2025-00-00-00,"[""Food System Adaptation""]",2025-01-28T07:45:50.000Z,
rec0Wd0VjRVizzU4n,2025-01-28T07:45:46.000Z,Health Outbreak Monitoring,2025-01-28,Active,V_01-28-2025-00-00-00,"[""Health Adaptation""]",2025-01-28T07:45:46.000Z,
rec0g0qwMEMecIKPW,2025-01-28T07:45:38.000Z,Volunteer Management Systems,2025-01-28,Active,V_01-28-2025-00-00-00,"[""Emergency Management""]",2025-01-28T07:45:38.000Z,
rec0gX7ou9bfC5tiE,2025-01-28T07:45:45.000Z,Vulnerable Population Tracking,2025-01-28,Active,V_01-28-2025-00-00-00,"[""Health Adaptation""]",2025-02-09T21:43:29.000Z,"[""GPS-based Movement Tracking for Elderly"",""GPS Sensor Monitoring for School Children"",""Streetwyze App"",""Functional Needs Registry and Surveillance Systems"",""IoT-based Care Service for Elderly"",""Smart Welfare IoT System for Elderly""]"
rec13uEWUoFHzSUVM,2025-01-28T07:46:02.000Z,Automated Compensation Systems,2025-01-28,Active,V_01-28-2025-00-00-00,"[""Economic Resilience""]",2025-01-28T07:46:02.000Z,
rec1AB7o34NKxzQQo,2025-01-28T07:45:39.000Z,Storm Surge Protection,2025-01-28,Active,V_01-28-2025-00-00-00,"[""Ecosystem Protection""]",2025-01-28T07:45:39.000Z,
rec1FN2bL52d8k28e,2025-01-28T07:45:29.000Z,Real-Time Analytics Platforms,2025-01-28,Active,V_01-28-2025-00-00-00,"[""Hazard Monitoring""]",2025-02-09T21:43:29.000Z,"[""Real-time Monitoring System for Infrastructure"",""Meteorological Risk Dashboard"",""Real-time Flood Sensing and Communications"",""Temperature Monitoring and Analysis"",""Live Data Monitoring Systems"",""Real-time Flooding Information"",""Improved Warning Systems for Road Hazards"",""Real-time sensors for natural hazard mapping"",""Real-time Sensor Informed Decision Making"",""High Speed Outflow Analysis System"",""High Speed Outflow Analysis System"",""IoT Sensor Data Management and Analysis Platform"",""Intelligent Traffic Management System"",""Ecothess Real-Time Environmental Data Platform"",""Real-time sensors for natural hazard mapping in Rio de Janeiro""]"
rec1Hfy9WJfB6vbzR,2025-01-28T07:45:45.000Z,Water Distribution Automation,2025-01-28,Active,V_01-28-2025-00-00-00,"[""Water Resilience""]",2025-02-09T21:43:29.000Z,"[""Smart H2O Platform for Stormwater Management"",""On-site Water Management System"",""Modernized Sanitary Sewer System"",""Real-time Rainwater Management System"",""Real-time Monitoring of Water and Sanitation Services"",""Adaptive Irrigation Systems with Real-Time Monitoring"",""Real-time Irrigation Monitoring and Control System"",""Central Control System for Sewage Network""]"
rec1MlXogTuV3dRlg,2025-01-28T07:45:31.000Z,Ai-Powered Hazard Prediction Systems,2025-01-28,Active,V_01-28-2025-00-00-00,"[""Hazard Monitoring""]",2025-02-09T21:43:29.000Z,"[""AI Platforms for Disaster Preparedness and Response"",""AI and Deep Machine-Learning Hazard Analysis"",""Lumen Methane Monitoring and Inspection System""]"
rec1XCVo2uKZZ3A91,2025-01-28T07:45:52.000Z,Harvest Forecasting Tools,2025-01-28,Active,V_01-28-2025-00-00-00,"[""Food System Adaptation""]",2025-01-28T07:45:52.000Z,
rec1bnLR8K2uaBpRR,2025-01-28T07:45:38.000Z,Coastal Defense Monitoring,2025-01-28,Active,V_01-28-2025-00-00-00,"[""Ecosystem Protection""]",2025-01-28T07:45:38.000Z,
rec27M2VUML7mlooM,2025-01-28T07:45:41.000Z,Green Infrastructure Systems,2025-01-28,Active,V_01-28-2025-00-00-00,"[""Ecosystem Protection""]",2025-02-09T21:43:29.000Z,"[""Floating Solar Photovoltaic Systems""]"
rec2XiOJmVA2PlP9k,2025-01-28T07:45:44.000Z,Water Loss Detection Systems,2025-01-28,Active,V_01-28-2025-00-00-00,"[""Water Resilience""]",2025-02-09T21:43:29.000Z,"[""Automated Tracking Systems for Leak Awareness"",""Leak Notification Program"",""Leak Detection with RF-Acoustic Technology"",""Leak Notification Program""]"
